STR_R3F_LOG_action_heliporter,	"Lift the object",	"Heliporter l'objet"
STR_R3F_LOG_action_heliporter_fait,	"Object ""%1"" attached.",	"Objet ""%1"" attaché."
STR_R3F_LOG_action_heliporter_deja_transporte,	"The object ""%1"" is already transported by a vehicle.",	"L'objet ""%1"" est déjà transporté un véhicule."
STR_R3F_LOG_action_heliporter_deplace_par_joueur,	"The object ""%1"" is being moved by a player.",	"L'objet ""%1"" est en train d'être déplacé par un joueur."
STR_R3F_LOG_action_heliporter_joueur_dans_objet,	"There is a player in the object ""%1"".",	"Un joueur se trouve dans l'objet ""%1""."
STR_R3F_LOG_action_heliporter_objet_remorque,	"Can't lift the object ""%1"" because it's towing another object.",	"Impossible d'héliporter l'objet ""%1"" car il est en train de remorquer un autre objet."
STR_R3F_LOG_action_heliport_larguer,	"Drop the object",	"Larguer l'objet"
STR_R3F_LOG_action_heliport_larguer_fait,	"Object ""%1"" dropped.",	"Objet ""%1"" largué."

STR_R3F_LOG_action_deplacer_objet,	"Take this object",	"Prendre cet objet"
STR_R3F_LOG_action_relacher_objet,	"Release the object",	"Relacher l'objet"
STR_R3F_LOG_ne_pas_monter_dans_vehicule,	"You can't get in a vehicle while you're carrying this object !",	"Vous ne pouvez pas monter dans un véhicule tant que vous portez cet objet !"
STR_R3F_LOG_courir_trop_vite,	"You're walking too fast ! (Shift key to slow down)",	"Vous marchez trop vite ! (Touche majuscule pour ralentir)"

STR_R3F_LOG_action_selectionner_objet_charge,	"Load in...",	"Charger dans..."
STR_R3F_LOG_action_selectionner_objet_charge_fait,	"Now select the vehicle in which to load the object ""%1""...",	"Sélectionnez maintenant le véhicule dans lequel charger l'objet ""%1""..."

STR_R3F_LOG_action_charger_selection,	"... load the selected object in this vehicle",	"... charger l'objet sélectionné dans ce véhicule"
STR_R3F_LOG_action_charger_selection_en_cours,	"Loading in progress...",	"Chargement en cours..."
STR_R3F_LOG_action_charger_selection_fait,	"The object ""%1"" has been loaded in the vehicle.",	"L'objet ""%1"" a été chargé dans le véhicule."
STR_R3F_LOG_action_charger_selection_trop_loin,	"The object ""%1"" is too far from the vehicle to be loaded.",	"L'objet ""%1"" est trop loin du véhicule pour être chargé."
STR_R3F_LOG_action_charger_selection_pas_assez_de_place,	"There is no enough space in this vehicle.",	"Il n'y pas assez de place pour cet objet dans ce véhicule."
STR_R3F_LOG_action_charger_selection_objet_transporte,	"The object ""%1"" is in transit.",	"L'objet ""%1"" est en cours de transport."

STR_R3F_LOG_action_charger_deplace,	"Load in the vehicle",	"Charger dans le véhicule"
STR_R3F_LOG_action_charger_deplace_en_cours,	"Loading in progress...",	"Chargement en cours..."
STR_R3F_LOG_action_charger_deplace_fait,	"The object has been loaded in the vehicle ""%1"".",	"L'objet a été chargé dans le véhicule ""%1""."
STR_R3F_LOG_action_charger_deplace_pas_assez_de_place,	"There is no enough space in this vehicle.",	"Il n'y pas assez de place pour cet objet dans ce véhicule."

STR_R3F_LOG_action_selectionner_objet_remorque,	"Tow...",	"Remorquer à..."
STR_R3F_LOG_action_selectionner_objet_remorque_fait,	"Now select the vehicle in which to load the object ""%1""...",	"Sélectionnez maintenant le véhicule dans lequel charger l'objet ""%1""..."

STR_R3F_LOG_action_remorquer_selection,	"... tow the selected object to this vehicle",	"... remorquer l'objet sélectionné à ce véhicule"
STR_R3F_LOG_action_remorquer_selection_trop_loin,	"The object ""%1"" is too far from the vehicle to be towed.",	"L'objet ""%1"" est trop loin du véhicule pour être remorqué."
STR_R3F_LOG_action_remorquer_selection_objet_transporte,	"The object ""%1"" is in transit.",	"L'objet ""%1"" est en cours de transport."

STR_R3F_LOG_action_remorquer_deplace,	"Tow the object",	"Remorquer l'objet"
STR_R3F_LOG_action_detacher,	"Untow the object",	"Décrocher l'objet"
STR_R3F_LOG_action_detacher_fait,	"Object untowed.",	"Objet décroché."
STR_R3F_LOG_action_detacher_impossible_pour_ce_vehicule,	"Only the pilot can detach this object.",	"Seul le pilote peut décrocher cet objet."

STR_R3F_LOG_action_contenu_vehicule,	"View the vehicle content",	"Voir le contenu du véhicule"
STR_R3F_LOG_action_decharger_en_cours,	"Unloading in progress...",	"Déchargement en cours..."
STR_R3F_LOG_action_decharger_fait,	"The object has been unloaded from the vehicle.",	"L'objet a été déchargé du véhicule."
STR_R3F_LOG_action_decharger_deja_fait,	"The object has already been unloaded.",	"L'objet a déjà été déchargé."

STR_R3F_LOG_transport_en_cours,	"This vehicle is being transported.",	"Ce véhicule est en cours de transport."
STR_R3F_LOG_mutex_action_en_cours,	"The current operation isn't finished.",	"L'opération en cours n'est pas finie."

STR_R3F_LOG_dlg_CV_titre,	"Content of vehicle",	"Contenu du véhicule"
STR_R3F_LOG_dlg_CV_capacite_vehicule,	"Loading : %1/%2",	"Chargement : %1/%2"
STR_R3F_LOG_dlg_CV_btn_decharger,	"Unload",	"Décharger"
STR_R3F_LOG_dlg_CV_btn_fermer,	"Cancel",	"Annuler"

STR_R3F_LOG_nom_pc_arti,	"Artillery CQ",	"PC d'artillerie"
